Acceptor,Architecture,Construction ,SMILES,HOMO,LUMO,Gap,PCE,Voc,Joc
PC71BM,bulk,polymer,Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,-0.187,-0.099,0.088,1.545,0.484,49.19
PC71BM,bulk,polymer,CN1c2ccccc2C(=C2c3ccc(-c4cccs4)cc3N(C)C2=O)C1=O,-0.203,-0.113,0.09,2.697,0.931,44.71
PC61BM,bulk,polymer,Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1,-0.189,-0.115,0.074,3.241,0.532,93.83
PC61BM,bulk,polymer,Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,-0.173,-0.091,0.082,0.485,0.115,65.05
PC71BM,bulk,polymer,Cc1cc(-c2c3cc(-c4cccs4)sc3c(-c3cc(C)c(C)s3)c3cc(-c4ccc(-c5ccc6c(c5F)N(C)C(=O)C6=C5c6cccc(F)c6N(C)C5=O)s4)sc32)sc1C,-0.186,-0.119,0.067,3.773,0.461,126.02
PC61BM,bulk,polymer,C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC,-0.194,-0.1,0.094,1.59,0.679,36.02
PC71BM,bulk,polymer,Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)cc4)c4ccsc4c5-c4ccc(C)cc4)s3)c3nsnc32)c1,-0.185,-0.105,0.079,2.014,0.421,73.83
PC71BM,bulk,polymer,CC1=CC(c2cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)s2)=S=C1,-0.275,-1.379,0.092,1.05,0.396,40.93
C60,bilayer,molecule,CN1C(=O)C2=C(c3ccc(-c4ccc(C(F)(F)F)cc4)s3)N(C)C(=O)C2=C1c1ccc(-c2ccc(C(F)(F)F)cc2)s1,-0.194,-0.119,0.076,3.86,0.681,87.17
TiO2,DSSC,molecule,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(C=CC=C(C#N)C(=O)O)s5)s4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,-0.188,-0.114,0.074,2.791,0.513,93.12
TiO2,DSSC,molecule,C=Cc1ccc(N(c2ccccc2)c2ccc(-c3ccc(C=C4SC(=S)N(CC(=O)O)C4=O)s3)cc2)cc1,-0.196,-0.106,0.09,2.124,0.733,44.57
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,-0.195,-0.11,0.086,2.557,0.708,55.55
PC61BM,bulk,polymer,Cc1cc[se]c1,-0.23,-0.02,0.21,0.0,1.659,0.0
PC71BM,bulk,polymer,Cc1nc(-c2nc(C)c(-c3ccc(C4=S=C5c6cc7c(cc6C(C)(C)C5=C4)-c4sccc4C7(C)C)s3)s2)sc1-c1cccs1,-0.18,-0.093,0.087,0.99,0.296,51.43
PC61BM,bulk,polymer,Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-0.176,-0.108,0.069,1.502,0.201,115.41
PC61BM,bulk,molecule,O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,-0.183,-0.105,0.078,1.923,0.384,77.16
PC71BM,bulk,polymer,COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(-c5ccc(C)s5)c5ccsc5c6-c5ccc(C)s5)s4)c3nc2-c2cccc(OC)c2)c1,-0.184,-0.096,0.089,1.292,0.418,47.57
,,,Cc1csc(C=Cc2cccc3nsnc32)c1C,-0.201,-0.097,0.104,1.054,0.879,18.87
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,-0.181,-0.075,0.106,0.344,0.325,16.27
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1,-0.182,-0.103,0.079,1.723,0.357,74.57
PC61BM,bulk,molecule,Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1,-0.178,-0.095,0.083,0.99,0.244,62.54
PC71BM,bulk,polymer,CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nc5sc(-c6cccs6)nc5s4)s2)cc1C3(C)C,-0.183,-0.094,0.089,1.153,0.38,46.73
PC61BM,bulk,polymer,C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,-0.176,-0.086,0.091,0.554,0.197,43.42
PC71BM,bulk,polymer,COc1c(OC)c(-c2ccc(-c3cc4c(s3)c(-c3ccc(C)s3)c3ccsc3c4C3=S=C(C)C=C3)s2)c2nsnc2c1-c1cccs1,-0.183,-0.103,0.081,1.773,0.392,69.61
TiO2,DSSC,molecule,N#CC(=Cc1ccc(-c2ccc(-c3ccc(C=C(C#N)c4ccc([N+](=O)[O-])cc4)s3)c3c2C(=O)OC3=O)s1)c1ccc([N+](=O)[O-])cc1,-0.237,-0.142,0.095,4.15,1.855,34.46
PC61BM,bulk,molecule,COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1,-0.185,-0.114,0.071,2.999,0.43,107.4
PC71BM,bulk,polymer,CN1C(=O)C2=C(c3ccc(-c4ccccc4)s3)N(C)C(=O)C2=C1c1cccs1,-0.185,-0.102,0.083,1.782,0.434,63.19
PC71BM,bulk,molecule,Cc1ccc(-c2ccc(-c3cnc(-c4cc5c(s4)-c4sc(-c6ncc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,-0.18,-0.121,0.059,3.2,0.3,164.37
